Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit
CA-2013-152156,2013-11-09,2013-11-12,Second Class,CG-12520,FUR-BO-10001798,261.96,2,0.0,41.91
CA-2013-152156,2013-11-09,2013-11-12,Second Class,CG-12520,FUR-CH-10000454,731.94,3,0.0,219.58
CA-2013-138688,2013-06-13,2013-06-17,Second Class,DV-13045,OFF-LA-10000240,14.62,2,0.0,6.87
US-2012-108966,2012-10-11,2012-10-18,Standard Class,SO-20335,FUR-TA-10000577,957.58,5,0.45,-383.03
US-2012-108966,2012-10-11,2012-10-18,Standard Class,SO-20335,OFF-ST-10000760,22.37,2,0.2,2.52
CA-2011-115812,2011-06-09,2011-06-14,Standard Class,BH-11710,FUR-FU-10001487,48.86,7,0.0,14.17
CA-2011-115812,2011-06-09,2011-06-14,Standard Class,BH-11710,OFF-AR-10002833,7.28,4,0.0,1.97
CA-2011-115812,2011-06-09,2011-06-14,Standard Class,BH-11710,TEC-PH-10002275,907.15,6,0.2,90.72
CA-2011-115812,2011-06-09,2011-06-14,Standard Class,BH-11710,OFF-BI-10003910,18.5,3,0.2,5.78
CA-2011-115812,2011-06-09,2011-06-14,Standard Class,BH-11710,OFF-AP-10002892,114.9,5,0.0,34.47
CA-2011-115812,2011-06-09,2011-06-14,Standard Class,BH-11710,FUR-TA-10001539,1706.18,9,0.2,85.31
CA-2011-115812,2011-06-09,2011-06-14,Standard Class,BH-11710,TEC-PH-10002033,911.42,4,0.2,68.36
CA-2014-114412,2014-04-16,2014-04-21,Standard Class,AA-10480,OFF-PA-10002365,15.55,3,0.2,5.44
CA-2013-161389,2013-12-06,2013-12-11,Standard Class,IM-15070,OFF-BI-10003656,407.98,3,0.2,132.59
US-2012-118983,2012-11-22,2012-11-26,Standard Class,HP-14815,OFF-AP-10002311,68.81,5,0.8,-123.86
US-2012-118983,2012-11-22,2012-11-26,Standard Class,HP-14815,OFF-BI-10000756,2.54,3,0.8,-3.82
CA-2011-105893,2011-11-11,2011-11-18,Standard Class,PK-19075,OFF-ST-10004186,665.88,6,0.0,13.32
CA-2011-167164,2011-05-13,2011-05-15,Second Class,AG-10270,OFF-ST-10000107,55.5,2,0.0,9.99
CA-2011-143336,2011-08-27,2011-09-01,Second Class,ZD-21925,OFF-AR-10003056,8.56,2,0.0,2.48
CA-2011-143336,2011-08-27,2011-09-01,Second Class,ZD-21925,TEC-PH-10001949,213.48,3,0.2,16.01
CA-2011-143336,2011-08-27,2011-09-01,Second Class,ZD-21925,OFF-BI-10002215,22.72,4,0.2,7.38
CA-2013-137330,2013-12-10,2013-12-14,Standard Class,KB-16585,OFF-AR-10000246,19.46,7,0.0,5.06
CA-2013-137330,2013-12-10,2013-12-14,Standard Class,KB-16585,OFF-AP-10001492,60.34,7,0.0,15.69
US-2014-156909,2014-07-17,2014-07-19,Second Class,SF-20065,FUR-CH-10002774,71.37,2,0.3,-1.02
CA-2012-106320,2012-09-25,2012-09-30,Standard Class,EB-13870,FUR-TA-10000577,1044.63,3,0.0,240.26
CA-2013-121755,2013-01-16,2013-01-20,Second Class,EH-13945,OFF-BI-10001634,11.65,2,0.2,4.22
CA-2013-121755,2013-01-16,2013-01-20,Second Class,EH-13945,TEC-AC-10003027,90.57,3,0.0,11.77
US-2012-150630,2012-09-17,2012-09-21,Standard Class,TB-21520,FUR-BO-10004834,3083.43,7,0.5,-1665.05
US-2012-150630,2012-09-17,2012-09-21,Standard Class,TB-21520,OFF-BI-10000474,9.62,2,0.7,-7.05
US-2012-150630,2012-09-17,2012-09-21,Standard Class,TB-21520,FUR-FU-10004848,124.2,3,0.2,15.52
US-2012-150630,2012-09-17,2012-09-21,Standard Class,TB-21520,OFF-EN-10001509,3.26,2,0.2,1.1
US-2012-150630,2012-09-17,2012-09-21,Standard Class,TB-21520,OFF-AR-10004042,86.3,6,0.2,9.71
US-2012-150630,2012-09-17,2012-09-21,Standard Class,TB-21520,OFF-BI-10001525,6.86,6,0.7,-5.72
US-2012-150630,2012-09-17,2012-09-21,Standard Class,TB-21520,OFF-AR-10001683,15.76,2,0.2,3.55
CA-2014-107727,2014-10-20,2014-10-24,Second Class,MA-17560,OFF-PA-10000249,29.47,3,0.2,9.95
CA-2013-117590,2013-12-09,2013-12-11,First Class,GH-14485,TEC-PH-10004977,1097.54,7,0.2,123.47
CA-2013-117590,2013-12-09,2013-12-11,First Class,GH-14485,FUR-FU-10003664,190.92,5,0.6,-147.96
CA-2012-117415,2012-12-27,2012-12-31,Standard Class,SN-20710,OFF-EN-10002986,113.33,9,0.2,35.42
CA-2012-117415,2012-12-27,2012-12-31,Standard Class,SN-20710,FUR-BO-10002545,532.4,3,0.32,-46.98
CA-2012-117415,2012-12-27,2012-12-31,Standard Class,SN-20710,FUR-CH-10004218,212.06,3,0.3,-15.15
CA-2012-117415,2012-12-27,2012-12-31,Standard Class,SN-20710,TEC-PH-10000486,371.17,4,0.2,41.76
CA-2014-120999,2014-09-11,2014-09-16,Standard Class,LC-16930,TEC-PH-10004093,147.17,4,0.2,16.56
CA-2013-101343,2013-07-18,2013-07-23,Standard Class,RA-19885,OFF-ST-10003479,77.88,2,0.0,3.89
CA-2014-139619,2014-09-20,2014-09-24,Standard Class,ES-14080,OFF-ST-10003282,95.62,2,0.2,9.56
CA-2013-118255,2013-03-12,2013-03-14,First Class,ON-18715,TEC-AC-10000171,45.98,2,0.0,19.77
CA-2013-118255,2013-03-12,2013-03-14,First Class,ON-18715,OFF-BI-10003291,17.46,2,0.0,8.21
CA-2011-146703,2011-10-20,2011-10-25,Second Class,PO-18865,OFF-ST-10001713,211.96,4,0.0,8.48
CA-2013-169194,2013-06-21,2013-06-26,Standard Class,LH-16900,TEC-AC-10002167,45.0,3,0.0,4.95
CA-2013-169194,2013-06-21,2013-06-26,Standard Class,LH-16900,TEC-PH-10003988,21.8,2,0.0,6.1
CA-2012-115742,2012-04-18,2012-04-22,Standard Class,DP-13000,OFF-BI-10004410,38.22,6,0.0,17.96
CA-2012-115742,2012-04-18,2012-04-22,Standard Class,DP-13000,OFF-LA-10002762,75.18,6,0.0,35.33
